날짜,발신자,내용
2025-03-15 22:45:25,George,Hello admins please I have not yet receive my jambophone and it said I should contact support if I did not receive my phone within 10days
2025-03-15 21:50:44,Combot,"Combot has warned azmy (1/3)
Reason: Stories are not allowed"
2025-03-15 20:53:02,Marcos,?
2025-03-15 18:43:27,kyle,"就不太處理唄
回復慢 完全不看訊息的同樣問題講了好多次隔幾天又再問一樣的問題"
2025-03-15 18:41:24,Marcos,some one help me please cant add my phone in app with MEI and Serial
2025-03-15 18:40:54,Marcos,hi
2025-03-15 15:53:47,sleem,Waiting for seller dispatch since last 2 weeks
2025-03-15 11:59:02,T,Các bạn kiểm tra cho tôi chưa
2025-03-15 11:58:31,T,"Order Number: #S8480
Tracking Number: 77130376480803
Tracking Link: https://www.sypost.net/search?orderNo=77130376480803"
2025-03-15 09:57:19,Jhon | JAMBO,"@jambosophia, could you please assist us with the shipping concern? 🙏"
2025-03-15 09:53:21,sleem,Hello admins please I have not yet receive my jambophone and it said I should contact support if I did not receive my phone within 10days
2025-03-15 08:32:48,Jhon | JAMBO,"Hey there, thanks for reaching out! We’ll look into this and keep you updated. Thank you for your patience and understanding regarding the delay. 😊"
2025-03-15 08:24:06,Paul,Hello I'm in your DM
2025-03-15 08:19:14,Zeke $J | #Memhash | ☮️🥝 | ⚡️VIA,"Hi, no points labeled?"
2025-03-15 07:59:29,Paul,Done
2025-03-15 07:30:47,Jhon | JAMBO,"Hello, please check your inbox 🤗"
2025-03-15 07:28:07,Paul,I can provide you the necessary details in your DM if that's okay so you can help me fast tact the process
2025-03-15 07:26:47,Paul,"Thank you
Can you look into this please if you may.
I'm yet to receive my phone and as advised I've done all that was asked if me but still no progress"
2025-03-15 07:23:55,Jhon | JAMBO,Stay tuned to our socials for more announcements and updates on upcoming quests!
2025-03-15 07:23:05,Jhon | JAMBO,"Hey Paul, thanks for the info! We’ll inform Christable about this. Please note that it’s the weekend, and we have limited staff available, so you’ll receive a response as soon as our team is available. Thank you for your understanding! 😊"
2025-03-15 07:12:04,Paul,"Hello @jambochristabelgb I've provided all the details as requested in the private group you created
I'm awaiting your response"
2025-03-15 07:03:57,Akyl,When new quests?
2025-03-15 06:53:25,Jhon | JAMBO,"Hi George, please note that it's the weekend, and we have limited staff available. We appreciate your patience, and as soon as @jambosophia is available, she will get in touch with you shortly. Thank you for understanding! 😊"
2025-03-15 06:50:41,George,"Good day 
Please I got an email for my Jambo phone since march 5th and up till now I'm yet to get the phone"
2025-03-15 06:09:35,Jhon | JAMBO,"Please fill out this form so we can investigate the issue further. Thank you! 😊

https://docs.google.com/forms/d/e/1FAIpQLSdBx8xeBdKbqTDX0-CK5fWegQuTaSXU55Wkj3zxz6-CsODBNg/viewform"
2025-03-15 06:02:06,panorama,And I'm 100% sure my email is not compromised
2025-03-15 06:01:17,panorama,Please i don't know what happened but someone just withdraw my j token
2025-03-15 02:48:08,Jhon | JAMBO,"Yes, that’s correct! We’re reviewing the history of your issue and have already advised our team to look into it. I’ll keep you updated! 😊"
2025-03-15 02:46:26,Jojo,"You did reply to my dm , I assumed you were looking in to it after inquiring more about the issue"
2025-03-15 02:44:15,Jhon | JAMBO,"Great! We’ll look into this and keep you updated. Since it's the weekend, we have limited staff, but don’t worry—once we have an update, we’ll let you know. 😊 🙏"
2025-03-15 02:43:01,Jojo,I already filled out the form and sent screenshots and recording
2025-03-15 02:42:13,Jhon | JAMBO,"Hello,

Could you please fill out this form so we can look into the issue?

https://docs.google.com/forms/d/e/1FAIpQLSdBx8xeBdKbqTDX0-CK5fWegQuTaSXU55Wkj3zxz6-CsODBNg/viewform"
2025-03-15 02:39:53,Jojo,I claimed points and they did not reflect in my wallet
2025-03-15 02:27:43,Jhon | JAMBO,"Hi Jojo,

Could you please let us know what issue you're experiencing?"
2025-03-15 02:26:04,Jojo,Were you able to solve my issue Jambo team
2025-03-15 02:13:09,George,Alright then
2025-03-15 02:12:25,Jhon | JAMBO,"Hi George, please note that it's the weekend, and we have limited staff available. We appreciate your patience, and as soon as @jambosophia is available, she will get in touch with you shortly. Thank you for understanding! 😊"
2025-03-15 02:11:46,George,"Alright
I'll wait then"
2025-03-15 02:11:15,Jhon | JAMBO,"Hey George, no worries! 😊 @jambosophia will assist you with your concern. Please wait for our team to reach out to you soon."
2025-03-15 02:11:15,George,@jambosophia
2025-03-15 02:09:54,George,"Good day 
Please I got an email for my Jambo phone since march 5th and up till now I'm yet to get the phone"
2025-03-15 01:47:52,Jhon | JAMBO,"No worries, @Jambosophia will assist you with this. We’ll be in touch with you soon! 😊"
2025-03-15 01:33:25,Xeno,From i got the email is 5 march until now the phone has not receive yet
2025-03-15 01:21:32,Jhon | JAMBO,"Hey, sorry to hear about that! If you need more details or assistance, @Jambosophia is here to help you with your shipping concern."
2025-03-15 01:04:32,Jhon | JAMBO,"🌟 Hey Jambo Fam! 🌟
It's WEEKEND again! 🎉 Let's take a moment to be GRATEFUL 🙏 for making it to this beautiful weekend — safe, healthy, and full of hope 💖. Together, we've come so far, and we're STRONGER than ever 💪.

👉 Stay connected and keep that Jambo app updated 📲! Don’t forget to participate in every quest 🏆 and rack up those points 💯 — you’ll be all set for the next exciting event coming your way soon! 🔥

Let’s make this weekend unforgettable and keep the good vibes rolling ✨. Stay strong, stay positive, and let’s keep winning together! 🌈🌟"
2025-03-14 18:00:12,Vinicius Velasque,"I bought the Jambo Phone and I didn't receive the device, the post office informed me that it was delivered, but it's not at my address"
2025-03-14 11:17:09,halo,手机都收到一个月了
2025-03-14 11:16:38,halo,空投什么时候发啊
2025-03-14 10:29:05,𝑽.,嗨，已發送私訊超過六小時，仍未見你讀取訊息
2025-03-14 09:59:58,Jeep,"these are the first three quests, starting from the top"
2025-03-14 06:32:45,Jojo,Heyy I have inboxed you
2025-03-14 05:54:18,Christabel | JAMBO 🧿,Appreciate you!
2025-03-14 05:53:50,Angela ⚡VIA,Done filling out
2025-03-14 05:50:07,Christabel | JAMBO 🧿,"Hey, sorry about that! Kindly fill out this form so we can check it for you. Let me know once you're done! https://docs.google.com/forms/d/e/1FAIpQLSdBx8xeBdKbqTDX0-CK5fWegQuTaSXU55Wkj3zxz6-CsODBNg/viewform 🙏"
2025-03-14 04:43:16,MAKAVELLII.ETH🐈‍⬛,"My account is saying banned and I cannot connect my jambo phone to my account 

What do I do"
2025-03-14 03:55:41,𝑽.,好，我私訊你
2025-03-14 03:54:27,Christabel | JAMBO 🧿,嘿，你好！谢谢你的留言~ 可以分享一下中奖的截图吗？这样我们可以更好地帮到你哦！ 🙏
2025-03-14 03:45:46,Christabel | JAMBO 🧿,"🚨** Hey ****📱****amboFam! New Quest Alert! **🚨

**Buy $100 worth of ****$J**** **on** Jupiter Exchange**, share proof, and tell us how hyped you are about $J to score some sweet rewards! 🔥

Head over to** JamboPlay **and look for the **""Buy ****$J**** on Jupiter Exchange"" **quest!

Don’t miss out! Dive in now! Lezzgooo! ⚡️"
2025-03-14 03:35:38,jinfu398,现在没有抽奖了吗
2025-03-14 03:35:00,𝑽.,嗨，我在2024年8月參加抽獎活動抽中JamboPhone，現在已經是2025年3月了，仍然沒有收到，請問誰可以協助處理這個問題呢？謝謝
2025-03-14 02:21:00,Sophia | JAMBO,"Hey guys! @Tosbilan @Ayubamsani

Please send me a DM so we can check on the order 🙏🏻"
2025-03-14 02:19:15,Christabel | JAMBO 🧿,Hey! Kindly check—I’ve responded to your DM. 🙏
2025-03-14 02:17:52,Christabel | JAMBO 🧿,Hey there!  Feel free to DM @jambosophia for any shipping-related assistance. She’ll be happy to help! Let us know if you need anything else. Thank you! 🙏
2025-03-14 02:16:16,Christabel | JAMBO 🧿,"Hey there, we appreciate you reaching out to us! 😊 If you’ve already sent an email to contact@jambophone.xyz, rest assured that you’ll receive a response soon. You can also DM @jambosophia for any shipping-related assistance. Let us know if you need anything else. Thank you!"
2025-03-14 02:14:46,Christabel | JAMBO 🧿,"Hey there, thanks for reaching out! 🙏 Could you kindly share more details about the issue? Also, when did you link your IMEI?"
2025-03-14 02:13:31,Christabel | JAMBO 🧿,Thanks for sharing your email address! I’ve created a group chat with you and Sophia from the Logistics Team so we can assist you better. Please check! 🙏
2025-03-14 02:10:15,Christabel | JAMBO 🧿,"Hey there! You can take it to any cellular shop that has the same standard size: a 6.75-inch LCD screen display for the JamboPhone 2, or a 6.5-inch LCD screen for the JamboPhone 1. Let me know if you need further assistance! 🙏"
